q0 (scalar),q1,q2,q3
0.3397812486256307,0.6574427957926676,-0.511331793296439,0.43687237324758366
0.32075965876377693,0.6349408967261587,-0.539018821786413,0.4510232906783353
0.3011494825130283,0.6112738961284724,-0.5657167634844745,0.4643465910359459
-0.2809867040830873,-0.5864852223860566,0.5913766282989286,-0.47681782637931247
-0.2603083216955879,-0.5606203621290562,0.6159513309846137,-0.48841411228648485
-0.23915227969323366,-0.5337267767644219,0.6393957775432149,-0.4991141698470382
-0.21755739891282644,-0.5058538153853505,0.661666947969683,-0.5088983647083708
-0.19556330544994868,-0.4770526242168668,0.6827239751929268,-0.5177487431042773
-0.17321035794601486,-0.44737605276370895,0.7025282200659234,-0.5256490647996838
-0.1505395735311194,-0.416878556832738,0.7210433422676372,-0.5325848328910967
-0.12759255255857221,-0.38561609860781926,0.7382353669866515,-0.5385433204080771
-0.10441140226923451,-0.35364604396053867,0.754072747264143,-0.5435135936669301
-0.08103865952572749,-0.3210270571851848,0.7685264218818059,-0.547486532333757
-0.05751721275829494,-0.2878189933511559,0.7815698686884998,-0.5504548461600512
-0.03389022326554862,-0.25408278847032356,0.7931791532677697,-0.5524130883601329
-0.01020104601450493,-0.21988034768089068,0.8033329728569356,-0.5533576656058706
0.013506849914753339,-0.18527443165292817,0.8120126954371563,-0.5532868446203552
0.037189961093811716,-0.15032854142402838,0.8192023939227445,-0.55220075535842
0.06080482957368619,-0.11510680187640318,0.8248888753869928,-0.550101390768178
0.08430812262913201,-0.0796738440692414,0.8290617052708813,-0.5469926031340094
0.10765671227317004,-0.04409468664224323,0.8317132265302469,-0.5428800970077099
0.13080775439592263,-0.008434616507954462,0.8328385736862787,-0.5377714187407738
